                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2775,                 3.5922,                 1.9501,                0.00676,                0.06389,                0.00276,                0.00142,                    nan,                    nan,                    nan,             0.00044299,             0.00044299,             0.00044299
                      2,                 1.9165,                 2.9362,                 1.7116,                0.01666,                0.08056,                0.00959,                 0.0046,                    nan,                    nan,                    nan,             0.00089136,             0.00089136,             0.00089136
                      3,                 1.8372,                 2.6794,                  1.639,                0.04915,                0.03333,                0.01315,                0.00633,                    nan,                    nan,                    nan,              0.0013307,              0.0013307,              0.0013307
                      4,                 1.9116,                 2.6005,                 1.7124,                0.28417,                0.03333,                0.04047,                0.01732,                    nan,                    nan,                    nan,              0.0013866,              0.0013866,              0.0013866
                      5,                  1.912,                   2.67,                 1.6876,                0.00292,                0.06389,                0.00179,                0.00096,                    nan,                    nan,                    nan,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.8662,                 2.4262,                 1.6494,                 0.0168,                0.07778,                0.01279,                0.00582,                    nan,                    nan,                    nan,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.8325,                 2.3093,                 1.6598,                0.16861,                0.06111,                0.04007,                0.01745,                    nan,                    nan,                    nan,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.8049,                 2.2605,                 1.6352,                0.05572,                   0.05,                0.03334,                0.01302,                    nan,                    nan,                    nan,                0.00133,                0.00133,                0.00133
                      9,                 1.8176,                 2.2252,                 1.6309,                0.03632,                0.09722,                0.03681,                0.01382,                    nan,                    nan,                    nan,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.7561,                 2.1623,                 1.6069,                0.06352,                0.07778,                0.02682,                0.01399,                    nan,                    nan,                    nan,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.7576,                 2.1977,                 1.6549,                 0.0654,                   0.05,                0.02685,                0.01357,                    nan,                    nan,                    nan,              0.0012875,              0.0012875,              0.0012875
                     12,                  1.787,                 2.1679,                 1.6729,                0.24116,                0.03056,                0.03591,                0.01976,                    nan,                    nan,                    nan,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.7447,                 2.0619,                 1.5956,                 0.0556,                0.03333,                0.01645,                0.00796,                    nan,                    nan,                    nan,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.7795,                 2.0748,                 1.6165,                0.04909,                0.03333,                0.02137,                 0.0085,                    nan,                    nan,                    nan,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.6985,                 1.9888,                 1.5895,                0.10226,                0.11303,                0.03837,                0.01759,                    nan,                    nan,                    nan,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.7019,                 1.8834,                 1.5596,                 0.0706,                0.15616,                0.05611,                0.03154,                    nan,                    nan,                    nan,              0.0012168,              0.0012168,              0.0012168
                     17,                 1.6867,                 1.8671,                 1.5536,                 0.1048,                0.11389,                0.05409,                0.02702,                    nan,                    nan,                    nan,              0.0012026,              0.0012026,              0.0012026
                     18,                 1.6576,                 1.9262,                 1.5367,                0.13474,                0.14167,                0.08858,                0.04773,                    nan,                    nan,                    nan,              0.0011885,              0.0011885,              0.0011885
                     19,                 1.5908,                 1.7686,                 1.4913,                0.14842,                0.12778,                0.09548,                0.05402,                    nan,                    nan,                    nan,              0.0011744,              0.0011744,              0.0011744
                     20,                 1.6499,                 1.7903,                 1.5696,                0.07803,                0.06389,                0.04644,                0.02333,                    nan,                    nan,                    nan,              0.0011602,              0.0011602,              0.0011602
                     21,                 1.6068,                 1.7759,                 1.4894,                0.09787,                0.06389,                0.03235,                0.01353,                    nan,                    nan,                    nan,              0.0011461,              0.0011461,              0.0011461
                     22,                 1.5733,                 1.7608,                 1.4958,                0.07894,                0.08056,                0.04421,                0.01821,                    nan,                    nan,                    nan,              0.0011319,              0.0011319,              0.0011319
                     23,                 1.5896,                 1.7361,                 1.5174,                0.11183,                0.09722,                 0.0496,                0.02433,                    nan,                    nan,                    nan,              0.0011178,              0.0011178,              0.0011178
                     24,                 1.5881,                  1.648,                 1.4896,                0.11475,                0.14444,                0.07133,                 0.0344,                    nan,                    nan,                    nan,              0.0011036,              0.0011036,              0.0011036
                     25,                 1.6196,                 1.6941,                  1.513,                0.09399,                0.09722,                0.08023,                0.04959,                    nan,                    nan,                    nan,              0.0010895,              0.0010895,              0.0010895
                     26,                 1.5177,                 1.6025,                 1.4266,                0.19213,                0.13889,                0.09203,                0.04746,                    nan,                    nan,                    nan,              0.0010753,              0.0010753,              0.0010753
                     27,                  1.525,                 1.5783,                 1.4496,                0.30846,                   0.05,                0.07608,                0.03932,                    nan,                    nan,                    nan,              0.0010612,              0.0010612,              0.0010612
