                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1369,                 3.3257,                 1.8031,                 0.0297,                0.10255,                0.01437,                 0.0065,                    nan,                    nan,                    nan,             0.00046751,             0.00046751,             0.00046751
                      2,                 1.8529,                  2.644,                  1.593,                0.02901,                 0.0962,                0.01438,                0.00696,                    nan,                    nan,                    nan,              0.0009345,              0.0009345,              0.0009345
                      3,                 1.8603,                 2.5998,                 1.6971,                0.04106,                0.20725,                 0.0487,                0.01731,                    nan,                    nan,                    nan,              0.0013921,              0.0013921,              0.0013921
                      4,                 1.8716,                 2.4804,                 1.6608,                0.00557,                0.17081,                0.00402,                0.00192,                    nan,                    nan,                    nan,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.8277,                   2.39,                  1.656,                 0.0367,                  0.196,                0.03162,                0.01299,                    nan,                    nan,                    nan,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.8268,                 2.3842,                 1.6313,                0.08473,                0.08451,                0.05814,                0.02647,                    nan,                    nan,                    nan,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.8223,                 2.3229,                 1.6495,                0.02209,                0.15042,                0.01275,                0.00461,                    nan,                    nan,                    nan,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.7921,                 2.2759,                  1.656,                 0.0216,                0.14652,                0.01618,                0.00741,                    nan,                    nan,                    nan,                0.00133,                0.00133,                0.00133
                      9,                 1.7236,                 2.1647,                 1.5969,                0.10495,                0.17066,                0.05579,                0.02538,                    nan,                    nan,                    nan,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.7414,                 2.0894,                 1.6005,                0.10347,                0.19023,                0.08418,                0.04142,                    nan,                    nan,                    nan,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.7329,                 2.0504,                 1.5995,                0.04054,                0.28344,                0.03366,                  0.016,                    nan,                    nan,                    nan,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.7007,                 1.9881,                 1.5582,                0.06048,                0.28051,                0.06435,                0.02762,                    nan,                    nan,                    nan,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.6588,                  1.933,                 1.5457,                0.11492,                0.17118,                0.08206,                0.04007,                    nan,                    nan,                    nan,              0.0012592,              0.0012592,              0.0012592
